"party_riding_name","riding_name","riding_id"
"Bloc Québécois de Bas-Richelieu--Nicolet--Bécancour","Bas-Richelieu—Nicolet—Bécancour",24054
"Association libérale fédérale de Bas-Richelieu--Nicolet--Bécancour","Bas-Richelieu—Nicolet—Bécancour",24054
"Association de circonscription NPD de Bas-Richelieu--Nicolet--Bécancour","Bas-Richelieu—Nicolet—Bécancour",24054
"Association du Parti conservateur de Bas-Richelieu--Nicolet--Bécancour","Bas-Richelieu—Nicolet—Bécancour",24054
"Battlefords--Lloydminster Federal Liberal Association","Battlefords—Lloydminster",47001
"Battlefords--Lloydminster Conservative Association","Battlefords—Lloydminster",47001
"Battlefords--Lloydminster Federal NDP Riding Association","Battlefords—Lloydminster",47001
"Beaches--East York Federal Liberal Association","Beaches—East York",35005
"Beaches--East York Federal NDP Riding Association","Beaches—East York",35005
"Beaches--East York Federal Green Party Association","Beaches—East York",35005
"Beaches--East York Conservative Association","Beaches—East York",35005
"Association libérale fédérale de Beauce","Beauce",24005
"Association du Parti conservateur de Beauce","Beauce",24005
"Beauharnois--Salaberry Conservative Association","Beauharnois—Salaberry",24006
"Bloc Québécois Beauharnois--Salaberry","Beauharnois—Salaberry",24006
"Association NPD pour la circonscription de Beauharnois--Salaberry","Beauharnois—Salaberry",24006
"Beauharnois--Salaberry Federal Green Party Association","Beauharnois—Salaberry",24006
"Beauharnois--Salaberry Federal Liberal Association","Beauharnois—Salaberry",24006
"Beauport--Limoilou Conservative Association","Beauport—Limoilou",24007
"Association de circonscription NPD de Beauport--Limoilou","Beauport—Limoilou",24007
"Association libérale fédérale de Beauport--Limoilou","Beauport—Limoilou",24007
"Beauséjour Green Party Association","Beauséjour",13002
"Beauséjour Federal Liberal Association","Beauséjour",13002
"Beauséjour Federal NDP Riding Association","Beauséjour",13002
"Beauséjour Conservative Association","Beauséjour",13002
"Berthier--Maskinongé Federal Liberal Association","Berthier—Maskinongé",24008
"Bloc Québécois Berthier--Maskinongé","Berthier—Maskinongé",24008
"Association de circonscription NPD de Berthier--Maskinongé","Berthier—Maskinongé",24008
"Association du Parti conservateur Berthier--Maskinongé","Berthier—Maskinongé",24008
"Blackstrap Federal NDP Riding Association","Blackstrap",47002
"Blackstrap Conservative Association","Blackstrap",47002
"Blackstrap Federal Liberal Association","Blackstrap",47002
"Bonavista--Gander--Grand Falls--Windsor Conservative Association","Bonavista—Gander—Grand Falls—Windsor",10002
"Bonavista--Gander--Grand Falls--Windsor Federal Liberal Association","Bonavista—Gander—Grand Falls—Windsor",10002
"Bourassa Federal Liberal Association","Bourassa",24009
"Association NPD pour la circonscription de Bourassa","Bourassa",24009
"Association du Parti conservateur Bourassa","Bourassa",24009
"Bramalea--Gore--Malton Federal NDP Riding Association","Bramalea—Gore—Malton",35006
"Bramalea--Gore--Malton Conservative Association","Bramalea—Gore—Malton",35006
"Bramalea--Gore--Malton Federal Liberal Association","Bramalea—Gore—Malton",35006
"Brampton West Federal Liberal Association","Brampton West",35008
"Brampton West Federal NDP Riding Association","Brampton West",35008
"Brampton West Conservative Association","Brampton West",35008
"Brampton--Springdale Conservative Association","Brampton—Springdale",35007
"Brampton--Springdale Federal Green Party Association","Brampton—Springdale",35007
"Brampton--Springdale Federal NDP Riding Association","Brampton—Springdale",35007
"Brampton--Springdale Federal Liberal Association","Brampton—Springdale",35007
"Brandon--Souris Green Party","Brandon—Souris",46001
"Brandon--Souris Federal NDP Riding Association","Brandon—Souris",46001
"Brandon--Souris Conservative Association","Brandon—Souris",46001
"Brandon--Souris Federal Liberal Association","Brandon—Souris",46001
"Brant Conservative Association","Brant",35009
"Brant Federal Liberal Association","Brant",35009
"Brant Federal Green Party Association","Brant",35009
"Brant Federal NDP Riding Association","Brant",35009
"British Columbia Southern Interior Green Party EDA","British Columbia Southern Interior",59026
"British Columbia Southern Interior Conservative Association","British Columbia Southern Interior",59026
"British Columbia Southern Interior Federal Liberal Association","British Columbia Southern Interior",59026
"Brome--Missisquoi Conservative Association","Brome—Missisquoi",24010
"Bloc Québécois de Brome--Missisquoi","Brome—Missisquoi",24010
"Association de circonscription NPD de Brome--Missisquoi","Brome—Missisquoi",24010
"Brome--Missisquoi Federal Liberal Association","Brome—Missisquoi",24010
"Federal Liberal Association of Brossard--La Prairie","Brossard—La Prairie",24011
"Association NPD Brossard--La Prairie","Brossard—La Prairie",24011
"Association du Parti conservateur Brossard--La Prairie","Brossard—La Prairie",24011
"Bruce--Grey--Owen Sound Conservative Association","Bruce—Grey—Owen Sound",35026
"Bruce--Grey--Owen Sound Federal Liberal Association","Bruce—Grey—Owen Sound",35026
"Bruce--Grey--Owen Sound Green Party of Canada","Bruce—Grey—Owen Sound",35026
"Burlington Conservative Association","Burlington",35010
"Burlington Federal NDP Riding Association","Burlington",35010
"Burlington Federal Liberal Association","Burlington",35010
"Burlington GPC EDA","Burlington",35010
"Burnaby--Douglas Federal NDP Riding Association","Burnaby—Douglas",59002
"Burnaby--Douglas Federal Liberal Association","Burnaby—Douglas",59002
"Burnaby--Douglas Conservative Association","Burnaby—Douglas",59002
"Burnaby--New Westminster Federal NDP Riding Association","Burnaby—New Westminster",59003
"Burnaby--New Westminster Federal Green Party Association","Burnaby—New Westminster",59003
"Burnaby--New Westminster Conservative Association","Burnaby—New Westminster",59003
"Burnaby--New Westminster Federal Liberal Association","Burnaby—New Westminster",59003
"Calgary Centre Conservative Association","Calgary Centre",48006
"Calgary Centre Federal NDP Riding Association","Calgary Centre",48006
"Calgary Centre Federal Liberal Association","Calgary Centre",48006
"Calgary Centre Federal Green Party Association","Calgary Centre",48006
"Calgary Centre-North Conservative Association","Calgary Centre-North",48003
"Green Party of Canada Calgary Centre-North EDA","Calgary Centre-North",48003
"Calgary Centre-North Federal NDP Riding Association","Calgary Centre-North",48003
"Calgary Centre-North Federal Liberal Association","Calgary Centre-North",48003
"Calgary East Federal Liberal Association","Calgary East",48002
"Calgary East Conservative Electoral District Association","Calgary East",48002
"Calgary East Federal NDP Riding Association","Calgary East",48002
"Calgary Northeast Federal NDP Riding Association","Calgary Northeast",48004
"Calgary Northeast Federal Liberal Association","Calgary Northeast",48004
"Calgary Northeast Conservative Association","Calgary Northeast",48004
"Calgary Southeast Federal NDP Riding Association","Calgary Southeast",48007
"Calgary Southeast Conservative Association","Calgary Southeast",48007
"Calgary Southeast Federal Liberal Association","Calgary Southeast",48007
"Calgary Southwest Federal Green Party Association","Calgary Southwest",48008
"Calgary Southwest Conservative Association","Calgary Southwest",48008
"Calgary Southwest Federal Liberal Association","Calgary Southwest",48008
"Calgary Southwest Federal NDP Riding Association","Calgary Southwest",48008
"Calgary West Federal Green Party Association","Calgary West",48009
"Calgary West Federal Liberal Association","Calgary West",48009
"Calgary West Federal NDP Riding Association","Calgary West",48009
"Calgary West Conservative Association","Calgary West",48009
"Calgary--Nose Hill Federal NDP Riding Association","Calgary—Nose Hill",48005
"Calgary--Nose Hill Conservative Association","Calgary—Nose Hill",48005
"Calgary--Nose Hill Federal Green Party Association","Calgary—Nose Hill",48005
"Calgary--Nose Hill Federal Liberal Association","Calgary—Nose Hill",48005
"Cambridge Conservative Association","Cambridge",35011
"Cambridge Federal Green Party Association","Cambridge",35011
"Cambridge Federal Liberal Association","Cambridge",35011
"Cambridge Federal NDP Riding Association","Cambridge",35011
"Cape Breton--Canso Federal Liberal Association","Cape Breton—Canso",12001
"Cape Breton--Canso Conservative Association","Cape Breton—Canso",12001
"Cape Breton--Canso Green Party Association","Cape Breton—Canso",12001
"Cape Breton--Canso Federal NDP Riding Association","Cape Breton—Canso",12001
"Cardigan Conservative Association","Cardigan",11001
"Cardigan Federal NDP Riding Association","Cardigan",11001
"Cardigan Federal Liberal Association","Cardigan",11001
"Cariboo--Prince George Federal Liberal Association","Cariboo—Prince George",59004
"Cariboo--Prince George Conservative Association","Cariboo—Prince George",59004
"Cariboo--Prince George Federal NDP Riding Association","Cariboo—Prince George",59004
"Carleton--Mississippi Mills Federal Green Party Association","Carleton—Mississippi Mills",35012
"Conservative Party of Canada Carleton--Mississippi Mills","Carleton—Mississippi Mills",35012
"Carleton--Mississippi Mills Federal Liberal Association","Carleton—Mississippi Mills",35012
"Carleton--Mississippi Mills Federal NDP Riding Association","Carleton—Mississippi Mills",35012
"Central Nova Green Party Association","Central Nova",12002
"Central Nova Federal NDP Riding Association","Central Nova",12002
"Central Nova Conservative Association","Central Nova",12002
"Central Nova Federal Liberal Association","Central Nova",12002
"Association du Bloc Québécois de Chambly--Borduas","Chambly—Borduas",24012
"Chambly--Borduas Conservative Association","Chambly—Borduas",24012
"Chambly-Borduas Federal NDP Riding Association","Chambly—Borduas",24012
"Association libérale fédérale de Chambly--Borduas","Chambly—Borduas",24012
"Association du Parti Vert du Canada de Chambly--Borduas","Chambly—Borduas",24012
"Association de circonscription NPD de Charlesbourg--Haute-Saint-Charles","Charlesbourg—Haute-Saint-Charles",24013
"Charlesbourg--Haute-Saint-Charles Conservative Association","Charlesbourg—Haute-Saint-Charles",24013
"Association du Bloc Québécois de Charlesbourg--Haute-Saint-Charles","Charlesbourg—Haute-Saint-Charles",24013
"Association libérale fédérale de Charlesbourg--Haute-Saint-Charles","Charlesbourg—Haute-Saint-Charles",24013
"Charleswood--St. James--Assiniboia Federal Liberal Association","Charleswood—St. James—Assiniboia",46002
"Charleswood--St. James--Assiniboia Federal Green Party Association","Charleswood—St. James—Assiniboia",46002
"Charleswood--St. James--Assiniboia Conservative Association","Charleswood—St. James—Assiniboia",46002
"Charleswood--St. James--Assiniboia Federal NDP Riding Association","Charleswood—St. James—Assiniboia",46002
"Charlottetown Federal NDP Riding Association","Charlottetown",11002
"Charlottetown Federal Liberal Riding Association","Charlottetown",11002
"Charlottetown Conservative Association","Charlottetown",11002
"Association de circonscription NPD de Châteauguay--Saint-Constant","Châteauguay—Saint-Constant",24015
"Châteauguay--Saint-Constant Federal Liberal Association","Châteauguay—Saint-Constant",24015
"Association du Parti conservateur Châteauguay--Saint-Constant","Châteauguay—Saint-Constant",24015
"Association du Bloc Québécois de Châteauguay--Saint-Constant","Châteauguay—Saint-Constant",24015
"Chatham-Kent--Essex Federal NDP Riding Association","Chatham-Kent—Essex",35013
"Chatham-Kent--Essex Conservative Association","Chatham-Kent—Essex",35013
"Chatham--Kent Essex Green Party","Chatham-Kent—Essex",35013
"Chatham--Kent--Essex Federal Liberal Association","Chatham-Kent—Essex",35013
"Bloc Québécois Chicoutimi--Le Fjord","Chicoutimi—Le Fjord",24016
"Chicoutimi--Le Fjord Conservative Association","Chicoutimi—Le Fjord",24016
"Chicoutimi--Le Fjord Federal Liberal Association","Chicoutimi—Le Fjord",24016
"Chicoutimi--Le Fjord Federal NDP Riding Association","Chicoutimi—Le Fjord",24016
"Chilliwack--Fraser Canyon Conservative Association","Chilliwack—Fraser Canyon",59005
"Chilliwack--Fraser Canyon Federal Liberal Association","Chilliwack—Fraser Canyon",59005
"Chilliwack--Fraser Canyon Federal Green Party Association","Chilliwack—Fraser Canyon",59005
"Chilliwack--Fraser Canyon Federal NDP Riding Association","Chilliwack—Fraser Canyon",59005
"Churchill Conservative Association","Churchill",46003
"Churchill Federal Liberal Association","Churchill",46003
"Churchill Federal NDP Riding Association","Churchill",46003
"Compton--Stanstead Federal NDP Riding Association","Compton—Stanstead",24017
"Compton--Stanstead Federal Liberal Association","Compton—Stanstead",24017
"Bloc Québécois Compton--Stanstead","Compton—Stanstead",24017
"Compton--Stanstead Conservative Association","Compton—Stanstead",24017
"Compton--Stanstead Federal Green Party Association","Compton—Stanstead",24017
"Crowfoot Federal Green Party Association","Crowfoot",48010
"Crowfoot Federal NDP Riding Association","Crowfoot",48010
"Crowfoot Federal Liberal Association","Crowfoot",48010
"Crowfoot Conservative Association","Crowfoot",48010
"Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","Cumberland—Colchester—Musquodoboit Valley",12007
"Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","Cumberland—Colchester—Musquodoboit Valley",12007
"Cumberland--Colchester--Musquodoboit Valley Green Party Association","Cumberland—Colchester—Musquodoboit Valley",12007
"Cumberland--Colchester--Musquodoboit Valley Conservative Association","Cumberland—Colchester—Musquodoboit Valley",12007
"Cypress Hills--Grasslands Federal Liberal Association","Cypress Hills—Grasslands",47004
"Cypress Hills--Grasslands Federal Green Party Association","Cypress Hills—Grasslands",47004
"Cypress Hills--Grasslands Federal NDP Riding Association","Cypress Hills—Grasslands",47004
"Cypress Hills--Grasslands Conservative Association","Cypress Hills—Grasslands",47004
"Dartmouth--Cole Harbour Federal Liberal Association","Dartmouth—Cole Harbour",12003
"Dartmouth--Cole Harbour Federal NDP Riding Association","Dartmouth—Cole Harbour",12003
"Dartmouth--Cole Harbour Conservative Association","Dartmouth—Cole Harbour",12003
"Dauphin--Swan River--Marquette Federal NDP Riding Association","Dauphin—Swan River—Marquette",46004
"Dauphin--Swan River--Marquette Federal Liberal Association","Dauphin—Swan River—Marquette",46004
"Dauphin--Swan River--Marquette Federal Green Party Association","Dauphin—Swan River—Marquette",46004
"Dauphin--Swan River--Marquette Conservative Association","Dauphin—Swan River—Marquette",46004
"Davenport Federal NDP Riding Association","Davenport",35015
"Davenport Conservative Association","Davenport",35015
"Davenport Federal Green Party Association","Davenport",35015
"Davenport Federal Liberal Association","Davenport",35015
"Delta--Richmond East Green Party EDA","Delta—Richmond East",59006
"Delta--Richmond East Conservative Association","Delta—Richmond East",59006
"Delta--Richmond East Federal Liberal Association","Delta—Richmond East",59006
"Desnethé--Missinippi--Churchill River Conservative Association","Desnethé—Missinippi—Churchill River",47003
"Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","Desnethé—Missinippi—Churchill River",47003
"Desnethé--Missinippi--Churchill River NDP Riding Association","Desnethé—Missinippi—Churchill River",47003
"Don Valley East Federal Liberal Association","Don Valley East",35016
"Don Valley East GPC EDA","Don Valley East",35016
"Don Valley East Conservative Association","Don Valley East",35016
"Don Valley East Federal NDP Riding Association","Don Valley East",35016
"Don Valley West Federal NDP Riding Association","Don Valley West",35017
"Don Valley West GPC EDA","Don Valley West",35017
"Don Valley West Conservative Association","Don Valley West",35017
"Don Valley West Federal Liberal Association","Don Valley West",35017
"Association de circonscription NPD de Drummond","Drummond",24018
"Association libérale fédérale de Drummond","Drummond",24018
"Association du Parti conservateur Drummond","Drummond",24018
"Bloc Québécois Drummond","Drummond",24018
"Dufferin--Caledon Federal Liberal Association","Dufferin—Caledon",35018
"Dufferin--Caledon Federal Green Party Association","Dufferin—Caledon",35018
"Dufferin--Caledon Conservative Association","Dufferin—Caledon",35018
"Durham Federal NDP Riding Association","Durham",35014
"Durham Conservative Association","Durham",35014
"Durham Federal Liberal Association","Durham",35014
"Durham Federal Green Party Association","Durham",35014
"Edmonton Centre Federal NDP Riding Association","Edmonton Centre",48012
"Edmonton Centre Federal Green Party Association","Edmonton Centre",48012
"Edmonton Centre Conservative Association","Edmonton Centre",48012
"Edmonton Centre Federal Liberal Association","Edmonton Centre",48012
"Edmonton East Federal Liberal Constituency Association","Edmonton East",48013
"Edmonton East Federal NDP Riding Association","Edmonton East",48013
"Conservative Party of Canada Edmonton East Electoral District Association","Edmonton East",48013
"Edmonton--Leduc Federal Liberal Association","Edmonton—Leduc",48014
"Edmonton--Leduc Conservative Association","Edmonton—Leduc",48014
"Edmonton--Leduc Federal NDP Riding Association","Edmonton—Leduc",48014
"Edmonton--Leduc Federal Green Party Association","Edmonton—Leduc",48014
"Edmonton--Mill Woods--Beaumont Federal NDP Riding Association","Edmonton—Mill Woods—Beaumont",48011
"Edmonton--Mill Woods--Beaumont Federal Liberal Association","Edmonton—Mill Woods—Beaumont",48011
"Edmonton--Mill Woods--Beaumont Conservative Association","Edmonton—Mill Woods—Beaumont",48011
"Edmonton--Sherwood Park Conservative Association","Edmonton—Sherwood Park",48016
"Edmonton--Sherwood Park Federal NDP Riding Association","Edmonton—Sherwood Park",48016
"Edmonton--Sherwood Park Federal Liberal Association","Edmonton—Sherwood Park",48016
"Edmonton--Sherwood Park Federal Green Party Association","Edmonton—Sherwood Park",48016
"Edmonton--Spruce Grove Conservative Association","Edmonton—Spruce Grove",48017
"Edmonton--Spruce Grove Federal Liberal Association","Edmonton—Spruce Grove",48017
"Edmonton--Spruce Grove Federal Green Party Association","Edmonton—Spruce Grove",48017
"Edmonton--Spruce Grove Federal NDP Riding Association","Edmonton—Spruce Grove",48017
"Edmonton--St. Albert Conservative Association","Edmonton—St. Albert",48015
"Edmonton--St. Albert Federal NDP Riding Association","Edmonton—St. Albert",48015
"Edmonton--St. Albert Federal Green Party Association","Edmonton—St. Albert",48015
"Edmonton--St. Albert Federal Liberal Association","Edmonton—St. Albert",48015
"Edmonton--Strathcona Federal Green Party Association","Edmonton—Strathcona",48018
"Edmonton--Strathcona Federal NDP Riding Association","Edmonton—Strathcona",48018
"Edmonton--Strathcona Conservative Association","Edmonton—Strathcona",48018
"Edmonton--Strathcona Federal Liberal Association","Edmonton—Strathcona",48018
"Green Party of Canada Eglinton--Lawrence EDA","Eglinton—Lawrence",35019
"Eglinton--Lawrence Conservative Association","Eglinton—Lawrence",35019
"Eglinton--Lawrence Federal Liberal Association","Eglinton—Lawrence",35019
"Egmont Federal Liberal Association","Egmont",11003
"Egmont Conservative Association","Egmont",11003
"Egmont Federal NDP Riding Association","Egmont",11003
"Elgin--Middlesex--London Conservative Association","Elgin—Middlesex—London",35020
"Elgin--Middlesex--London Federal NDP Riding Association","Elgin—Middlesex—London",35020
"Elgin--Middlesex--London Federal Liberal Association","Elgin—Middlesex—London",35020
"Elgin--Middlesex--London GPC EDA","Elgin—Middlesex—London",35020
"Elmwood--Transcona Federal Liberal Association","Elmwood—Transcona",46005
"Elmwood--Transcona Federal NDP Riding Association","Elmwood—Transcona",46005
"Elmwood--Transcona Conservative Association","Elmwood—Transcona",46005
"Esquimalt--Juan de Fuca Green Party of Canada","Esquimalt—Juan de Fuca",59008
"Esquimalt--Juan de Fuca Conservative Association","Esquimalt—Juan de Fuca",59008
"Esquimalt--Juan de Fuca Federal Liberal Association","Esquimalt—Juan de Fuca",59008
"Esquimalt--Juan de Fuca Federal NDP Riding Association","Esquimalt—Juan de Fuca",59008
"Essex Federal Liberal Association","Essex",35021
"Essex Conservative Association","Essex",35021
"Essex Federal NDP Riding Association","Essex",35021
"Etobicoke Centre Federal Liberal Association","Etobicoke Centre",35022
"Etobicoke Centre Federal NDP Riding Association","Etobicoke Centre",35022
"Etobicoke Centre Conservative Association","Etobicoke Centre",35022
"Etobicoke North Federal Liberal Association","Etobicoke North",35024
"Etobicoke North Conservative Association","Etobicoke North",35024
"Etobicoke North Federal NDP Riding Association","Etobicoke North",35024
"Etobicoke--Lakeshore GPC EDA","Etobicoke—Lakeshore",35023
"Etobicoke--Lakeshore Federal NDP Riding Association","Etobicoke—Lakeshore",35023
"Etobicoke--Lakeshore Federal Liberal Association","Etobicoke—Lakeshore",35023
"Etobicoke--Lakeshore Conservative Association","Etobicoke—Lakeshore",35023
"Fleetwood--Port Kells Federal NDP Riding Association","Fleetwood—Port Kells",59009
"Fleetwood--Port Kells Federal Liberal Association","Fleetwood—Port Kells",59009
"Fleetwood--Port Kells Conservative Association","Fleetwood—Port Kells",59009
"Fort McMurray--Athabasca Federal Green Party Association","Fort McMurray—Athabasca",48001
"Fort McMurray--Athabasca Federal NDP Riding Association","Fort McMurray—Athabasca",48001
"Fort McMurray--Athabasca Federal Liberal Association","Fort McMurray—Athabasca",48001
"Fort McMurray--Athabasca Conservative Association","Fort McMurray—Athabasca",48001
"Fredericton Green Party Association","Fredericton",13003
"Conservative Party of Canada Fredericton Electoral District Association","Fredericton",13003
"Fredericton Federal NDP Electoral District Association","Fredericton",13003
"Fredericton Federal Liberal Association","Fredericton",13003
"Fundy Royal Green Party Riding Association","Fundy Royal",13004
"Fundy Royal Conservative Association","Fundy Royal",13004
"Fundy Royal Federal Liberal Association","Fundy Royal",13004
"Fundy Royal NDP Riding Association","Fundy Royal",13004
"Bloc Québécois de Gaspésie--Îles-de-la-Madeleine","Gaspésie—Îles-de-la-Madeleine",24019
"Association du Parti conservateur Gaspésie--Îles-de-la-Madeleine","Gaspésie—Îles-de-la-Madeleine",24019
"NPD Gaspésie--Îles-de-la-Madeleine","Gaspésie—Îles-de-la-Madeleine",24019
"Association libérale fédérale Gaspésie--Îles-de-la-Madeleine","Gaspésie—Îles-de-la-Madeleine",24019
"Association de circonscription Gaspésie--Îles-de-la-Madeleine","Gaspésie—Îles-de-la-Madeleine",24019
"Gatineau Federal Liberal Association","Gatineau",24020
"Gatineau Conservative Association","Gatineau",24020
"NDP Gatineau","Gatineau",24020
"Association de circonscription du Bloc Québécois de Gatineau","Gatineau",24020
"Glengarry--Prescott--Russell Conservative Association","Glengarry—Prescott—Russell",35025
"Glengarry--Prescott--Russell Green Party Association","Glengarry—Prescott—Russell",35025
"Glengarry--Prescott--Russell New Democratic Party Association","Glengarry—Prescott—Russell",35025
"Glengarry--Prescott--Russell Federal Liberal Association","Glengarry—Prescott—Russell",35025
"Guelph Conservative Association","Guelph",35027
"Guelph Federal NDP Riding Association","Guelph",35027
"Guelph EDA, GPC","Guelph",35027
"Guelph Federal Liberal Association","Guelph",35027
"Haldimand--Norfolk Federal NDP Riding Association","Haldimand—Norfolk",35028
"Haldimand--Norfolk Conservative Association","Haldimand—Norfolk",35028
"Haldimand--Norfolk Federal Liberal Association","Haldimand—Norfolk",35028
"Haldimand--Norfolk Federal Green Party Association","Haldimand—Norfolk",35028
"Haliburton--Kawartha Lakes--Brock Federal Green Party Association","Haliburton—Kawartha Lakes—Brock",35029
"Haliburton--Kawartha Lakes--Brock Conservative Association","Haliburton—Kawartha Lakes—Brock",35029
"Haliburton--Kawartha Lakes--Brock Federal Liberal Association","Haliburton—Kawartha Lakes—Brock",35029
"Haliburton--Kawartha Lakes--Brock Federal NDP Riding Association","Haliburton—Kawartha Lakes—Brock",35029
"Halifax Federal Green Party Association","Halifax",12004
"Halifax Conservative Association","Halifax",12004
"Halifax Federal Liberal Association","Halifax",12004
"Halifax Federal NDP Riding Association","Halifax",12004
"Halifax West Conservative Association","Halifax West",12005
"Halifax West Federal Green Party Association","Halifax West",12005
"Halifax West Federal NDP Riding Association","Halifax West",12005
"Halifax West Liberal Association","Halifax West",12005
"Halton Conservative Association","Halton",35030
"Halton Federal Green Party Association","Halton",35030
"Halton Federal Liberal Association","Halton",35030
"Hamilton Centre Federal Liberal Association","Hamilton Centre",35031
"Hamilton Centre Federal NDP Riding Association","Hamilton Centre",35031
"Hamilton Centre Conservative Association","Hamilton Centre",35031
"Hamilton Centre Federal Green Party Association","Hamilton Centre",35031
"Hamilton East--Stoney Creek Conservative Association","Hamilton East—Stoney Creek",35032
"Hamilton East--Stoney Creek Federal Liberal Association","Hamilton East—Stoney Creek",35032
"Hamilton East--Stoney Creek Federal NDP Riding Association","Hamilton East—Stoney Creek",35032
"Hamilton East--Stoney Creek Green Party of Canada EDA","Hamilton East—Stoney Creek",35032
"Hamilton Mountain Federal NDP Riding Association","Hamilton Mountain",35033
"Hamilton Mountain Federal Green Party Association","Hamilton Mountain",35033
"Hamilton Mountain Conservative Association","Hamilton Mountain",35033
"Hamilton Mountain Federal Liberal Association","Hamilton Mountain",35033
"Association fédérale du Parti Vert du Canada de la Haute-Gaspésie--La Mitis--Matane--Matapédia","Haute-Gaspésie—La Mitis—Matane—Matapédia",24041
"Association du Parti conservateur de la Haute-Gaspésie--La Mitis--Matane--Matapédia","Haute-Gaspésie—La Mitis—Matane—Matapédia",24041
"Association du Bloc Québécois de Haute-Gaspésie--La Mitis--Matane--Matapédia","Haute-Gaspésie—La Mitis—Matane—Matapédia",24041
"Haute-Gaspésie--La Mitis--Matane--Matapédia Federal NDP Riding Association","Haute-Gaspésie—La Mitis—Matane—Matapédia",24041
"Association libérale fédérale de Haute-Gaspésie--La Mitis--Matane--Matapédia","Haute-Gaspésie—La Mitis—Matane—Matapédia",24041
"Hochelaga Federal Liberal Association","Hochelaga",24021
"Hochelaga Conservative Association","Hochelaga",24021
