"postal_code","official_riding_id","official_riding_name","latitude","longitude","city","province"
"A1K4B7",NA,NA,47.63896,-52.687666,"Outer Cove","NL"
"A1K5A2",NA,NA,47.646077,-52.696652,"Middle Cove","NL"
"A1L0L3",NA,NA,47.528758,-52.851428,"Paradise","NL"
"A1L1C1",NA,NA,47.547989,-52.883289,"Paradise","NL"
"A1L2K7",NA,NA,47.524444,-52.918873,"Paradise","NL"
"A1L2S9",NA,NA,47.542538,-52.890985,"Paradise","NL"
"A1L3W3",NA,NA,47.542397,-52.882887,"Paradise","NL"
"A1L5W1",NA,NA,NA,NA,NA,NA
"A1M0G3",NA,NA,NA,NA,NA,NA
"A1M1A8",NA,NA,47.586829,-52.890915,"Portugal Cove-st Philips","NL"
"A1M1C4",NA,NA,47.582503,-52.883067,"Portugal Cove-st Philips","NL"
"A1M1G5",NA,NA,47.566367,-52.87297,"Portugal Cove-st Philips","NL"
"A1M1K8",NA,NA,47.584717,-52.892922,"Portugal Cove-st Philips","NL"
"A1M1N2",NA,NA,47.589372,-52.881161,"Portugal Cove-st Philips","NL"
"A1M1N3",NA,NA,47.594644,-52.881309,"Portugal Cove-st Philips","NL"
"A1M1R5",NA,NA,47.589758,-52.868725,"Portugal Cove-st Philips","NL"
"A1M1Y4",NA,NA,47.582301,-52.84459,"Portugal Cove-st Philips","NL"
"A1M2C7",NA,NA,47.591818,-52.84257,"Portugal Cove-st Philips","NL"
"A1M2G3",NA,NA,47.581969,-52.884168,"Portugal Cove-st Philips","NL"
"A1M2M9",NA,NA,47.579701,-52.883179,"Portugal Cove-st Philips","NL"
"A1M2S1",NA,NA,47.623144,-52.835955,"Portugal Cove-st Philips","NL"
"A1M2Y1",NA,NA,47.618832,-52.846939,"Portugal Cove-st Philips","NL"
"A1M3C7",NA,NA,47.628827,-52.811512,"Portugal Cove-st Philips","NL"
"A1M3R6",NA,NA,47.614525,-52.852898,"Portugal Cove-st Philips","NL"
"A1M3T1",NA,NA,47.57572,-52.884816,"Portugal Cove-st Philips","NL"
"A1N0B5",NA,NA,47.529288,-52.807644,"Mount Pearl","NL"
"A1N2C1",NA,NA,47.512054,-52.810887,"Mount Pearl","NL"
"A1N3K5",NA,NA,47.524203,-52.806497,"Mount Pearl","NL"
"A1S1G3",NA,NA,47.463227,-52.771358,"Goulds","NL"
"A1S1G5",NA,NA,47.45737,-52.768975,"Goulds","NL"
"A1V0B2",NA,NA,48.972418,-54.604793,"Gander","NL"
"A1V1W5",NA,NA,48.957133,-54.59726,"Gander","NL"
"A1V2R3",NA,NA,48.976613,-54.613436,"Gander","NL"
"A1W1B3",NA,NA,47.526281,-52.930817,"Conception Bay South","NL"
"A1W2K1",NA,NA,47.53189,-52.928912,"Conception Bay South","NL"
"A1W2X1",NA,NA,NA,NA,NA,NA
"A1X2G6",NA,NA,47.513806,-52.987218,"Conception Bay South","NL"
"A1X3H1",NA,NA,47.491613,-53.028901,"Conception Bay South","NL"
"A1Y1B5",NA,NA,47.739854,-53.227328,"Carbonear","NL"
"A1Y1B6",NA,NA,47.73999,-53.227945,"Carbonear","NL"
"A1Y1C2",NA,NA,47.741193,-53.228467,"Carbonear","NL"
"A1Y1C3",NA,NA,47.739695,-53.227402,"Carbonear","NL"
"A1Y1C4",NA,NA,47.739052,-53.228788,"Carbonear","NL"
"A1Y1C5",NA,NA,47.743091,-53.22366,"Carbonear","NL"
"A2H3X5",NA,NA,48.951016,-58.01467,"Corner Brook","NL"
"A2H6C7",NA,NA,48.965331,-57.84843,"Corner Brook","NL"
"A2H6C9",NA,NA,48.959539,-58.011167,"Corner Brook","NL"
"A2H6G7",NA,NA,48.946994,-57.943523,"Corner Brook","NL"
"A2H6P9",NA,NA,48.948806,-57.943113,"Corner Brook","NL"
"A2H7A2",NA,NA,48.936382,-57.899336,"Corner Brook","NL"
"A2H7G7",NA,NA,48.929407,-57.938112,"Corner Brook","NL"
"A2H7N8",NA,NA,48.932793,-57.980437,"Corner Brook","NL"
"A2N2Y6",NA,NA,48.545817,-58.587305,"Stephenville","NL"
"A2N2Y8",NA,NA,48.546963,-58.583473,"Stephenville","NL"
"A2N2Z4",NA,NA,48.548953,-58.573933,"Stephenville","NL"
"A2N3A3",NA,NA,48.568948,-58.575902,"Stephenville","NL"
"A2V2K3",NA,NA,52.941813,-66.922559,"Labrador City","NL"
"A2V2L3",NA,NA,52.943666,-66.92469,"Labrador City","NL"
"A2W3G3",NA,NA,NA,NA,NA,NA
"A3Y3E5",NA,NA,NA,NA,NA,NA
"A5A2C2",NA,NA,47.548043,-54.754353,"Clarenville","NL"
"A5A3A2",NA,NA,48.151105,-53.958534,"Clarenville","NL"
"A8A2C5",NA,NA,49.178214,-57.423677,"Deer Lake","NL"
"B0A1M0",NA,NA,45.919816,-59.973665,"Louisbourg","NS"
"B0C1B0",NA,NA,46.16502,-60.080134,"Ingonish","NS"
"B0E2T0",NA,NA,45.653129,-61.383773,"Port Hastings","NS"
"B0J1V0",NA,NA,44.27417,-64.560404,"Halifax","NS"
"B0K1M7",NA,NA,NA,NA,NA,NA
"B0K1V2",NA,NA,NA,NA,NA,NA
"B0N1M0",NA,NA,44.97235,-63.506336,"Elmsdale","NS"
"B0N2A5",NA,NA,NA,NA,NA,NA
"B0N2S0",NA,NA,44.779654,-63.593793,"Waverley","NS"
"B0N5L9",NA,NA,NA,NA,NA,NA
"B0P1X0",NA,NA,45.085243,-64.35453,"Berwick","NS"
"B0P2T0",NA,NA,44.986835,-64.61462,"Cambridge Station","NS"
"B1A0M1",NA,NA,NA,NA,NA,NA
"B1A5V1",NA,NA,46.194424,-59.969655,"Glace Bay","NS"
"B1A5V2",NA,NA,46.189107,-59.980932,"Glace Bay","NS"
"B1A6E8",NA,NA,46.197686,-59.951269,"Glace Bay","NS"
"B1B1C3",NA,NA,46.136448,-59.870825,"Port Morien","NS"
"B1C2L8",NA,NA,45.918232,-59.976684,"Louisbourg","NS"
"B1E1J8",NA,NA,46.1791,-60.031019,"Reserve Mines","NS"
"B1E1K5",NA,NA,46.182099,-60.011509,"Reserve Mines","NS"
"B1H4K4",NA,NA,46.249291,-60.088128,"New Waterford","NS"
"B1H5T4",NA,NA,46.257923,-60.117671,"New Victoria","NS"
"B1H5V9",NA,NA,46.243193,-60.089633,"New Waterford","NS"
"B1J1N5",NA,NA,45.922118,-60.494684,"Big Pond","NS"
"B1J1R2",NA,NA,45.922118,-60.494684,"Big Pond","NS"
"B1J1T1",NA,NA,45.915165,-60.525061,"Big Pond","NS"
"B1J1V2",NA,NA,45.914419,-60.526501,"Big Pond","NS"
"B1J2E2",NA,NA,45.988946,-60.432583,"East Bay","NS"
"B1K3T8",NA,NA,45.977335,-60.220138,"Marion Bridge","NS"
"B1L1A3",NA,NA,46.027052,-60.371436,"Sydney Forks","NS"
"B1N3H5",NA,NA,46.183843,-60.196509,"South Bar","NS"
"B1P1A3",NA,NA,46.143042,-60.199238,"Sydney","NS"
"B1P6G8",NA,NA,46.134468,-60.177484,"Sydney","NS"
"B1P6G9",NA,NA,46.13474,-60.18047,"Sydney","NS"
"B1P6H1",NA,NA,46.079175,-60.264184,"Sydney","NS"
"B1P6H2",NA,NA,46.134247,-60.175543,"Sydney","NS"
"B1P6H4",NA,NA,46.107205,-60.224331,"Sydney","NS"
"B1P6H7",NA,NA,46.028744,-60.114685,"Sydney","NS"
"B1P6J1",NA,NA,46.103483,-60.205049,"Sydney","NS"
"B1P6J2",NA,NA,46.143654,-60.19332,"Sydney","NS"
"B1P6J7",NA,NA,46.140637,-60.172135,"Sydney","NS"
"B1P6L2",NA,NA,46.14367,-60.19332,"Sydney","NS"
"B1P6P4",NA,NA,46.13835,-60.195876,"Sydney","NS"
"B1P6R7",NA,NA,46.128369,-60.182945,"Sydney","NS"
"B1R2N3",NA,NA,NA,NA,NA,NA
"B1R4A7",NA,NA,NA,NA,NA,NA
"B1S1B2",NA,NA,46.114674,-60.214259,"Sydney","NS"
"B1S3N3",NA,NA,46.123471,-60.201172,"Sydney","NS"
"B1W1C2",NA,NA,46.124557,-60.194486,"Eskasoni","NS"
"B1X1A6",NA,NA,46.277856,-60.421937,"Big Bras D'or","NS"
"B1X1B5",NA,NA,46.284481,-60.410439,"Big Bras D'or","NS"
"B1X1C1",NA,NA,46.285735,-60.412808,"Big Bras D'or","NS"
"B1X1H4",NA,NA,46.275285,-60.425041,"Big Bras D'or","NS"
"B1X1Y4",NA,NA,46.284067,-60.401224,"Big Bras D'or","NS"
"B1Y3Y6",NA,NA,46.24375,-60.305337,"Bras D'or","NS"
"B1Y3Y8",NA,NA,46.232171,-60.334032,"Bras D'or","NS"
"B2A3L8",NA,NA,46.242633,-60.23304,"North Sydney","NS"
"B2A3L9",NA,NA,46.237925,-60.24105,"North Sydney","NS"
"B2A3M1",NA,NA,46.211833,-60.268325,"North Sydney","NS"
"B2A3M3",NA,NA,46.21038,-60.251095,"North Sydney","NS"
"B2A3M4",NA,NA,46.204756,-60.267071,"North Sydney","NS"
"B2A4A5",NA,NA,46.144652,-60.369667,"Leitches Creek","NS"
"B2B1B1",NA,NA,NA,NA,NA,NA
"B2B1P3",NA,NA,NA,NA,NA,NA
"B2C1N8",NA,NA,45.943608,-60.917479,"Mckinnon Harbour","NS"
"B2G0C1",NA,NA,NA,NA,NA,NA
"B2G1C0",NA,NA,45.6188,-61.995184,"Amherst","NS"
"B2G2L5",NA,NA,45.625496,-61.993792,"Antigonish","NS"
"B2G2L6",NA,NA,45.625123,-61.993453,"Antigonish","NS"
"B2G2L7",NA,NA,45.621914,-61.981309,"Antigonish","NS"
"B2G2L8",NA,NA,45.624913,-62.010107,"Antigonish","NS"
"B2G2L9",NA,NA,45.59339,-62.007721,"Antigonish","NS"
"B2G2M5",NA,NA,45.641899,-62.004253,"Antigonish","NS"
"B2G2N4",NA,NA,45.626138,-62.010251,"Antigonish","NS"
"B2G2P4",NA,NA,45.631264,-62.00289,"Antigonish","NS"
"B2G2S3",NA,NA,45.673401,-61.94766,"Antigonish","NS"
"B2G2W5",NA,NA,45.619027,-61.997864,"Antigonish","NS"
"B2H5C8",NA,NA,45.544816,-62.555686,"New Glasgow","NS"
"B2H5E2",NA,NA,45.590503,-62.644622,"New Glasgow","NS"
"B2H5E3",NA,NA,45.581514,-62.642396,"New Glasgow","NS"
"B2H5E5",NA,NA,45.583721,-62.648262,"New Glasgow","NS"
"B2H5E7",NA,NA,45.574732,-62.645763,"New Glasgow","NS"
"B2H5G2",NA,NA,45.588785,-62.623522,"New Glasgow","NS"
"B2M3C7",NA,NA,NA,NA,NA,NA
"B2N1J9",NA,NA,45.364106,-63.243637,"Truro","NS"
"B2N4Y8",NA,NA,45.362892,-63.236006,"Colchester","NS"
"B2N5A9",NA,NA,45.355316,-63.320497,"Truro","NS"
"B2N5B1",NA,NA,45.39767,-63.211228,"Truro","NS"
"B2N5B2",NA,NA,45.367719,-63.212268,"Truro","NS"
"B2N5B3",NA,NA,45.387983,-63.313556,"Colchester","NS"
"B2N5B4",NA,NA,45.417159,-63.269354,"Truro","NS"
"B2N5B6",NA,NA,45.356906,-63.269143,"Truro","NS"
"B2N5C5",NA,NA,45.366175,-63.29007,"Truro","NS"
"B2N5C7",NA,NA,45.372776,-63.239838,"Truro","NS"
"B2N5E3",NA,NA,45.371785,-63.264957,"Truro","NS"
"B2N5E5",NA,NA,45.364808,-63.296631,"Truro","NS"
"B2N5G1",NA,NA,45.364813,-63.278641,"Truro","NS"
"B2N5G7",NA,NA,45.364323,-63.274011,"Truro","NS"
"B2N5G8",NA,NA,45.367106,-63.278309,"Truro","NS"
"B2N5H1",NA,NA,45.37851,-63.268954,"Truro","NS"
"B2N5V2",NA,NA,45.356541,-63.289394,"Truro","NS"
"B2N5Z5",NA,NA,45.477487,-62.990399,"Truro","NS"
"B2N6C7",NA,NA,45.368672,-63.135961,"Truro","NS"
"B2N6L1",NA,NA,45.375814,-63.226091,"Truro","NS"
"B2N7J1",NA,NA,45.345966,-63.277534,"Truro","NS"
"B2S2V7",NA,NA,45.044628,-63.581021,"Nine Mile River","NS"
"B2T0L7",NA,NA,NA,NA,NA,NA
"B2T1K6",NA,NA,44.813468,-63.609356,"Fall River","NS"
"B2T1S6",NA,NA,44.835496,-63.650945,"Fall River","NS"
"B2W0H6",12003,"Dartmouth—Cole Harbour",NA,NA,NA,NA
"B2W0H8",12003,"Dartmouth—Cole Harbour",NA,NA,NA,NA
"B2W0H9",12003,"Dartmouth—Cole Harbour",NA,NA,NA,NA
"B2W0J3",12003,"Dartmouth—Cole Harbour",NA,NA,NA,NA
"B2W4A5",NA,NA,44.721788,-63.482425,"Dartmouth","NS"
"B2W6B2",NA,NA,44.670658,-63.495897,"Dartmouth","NS"
"B2W6C4",NA,NA,44.664864,-63.545039,"Dartmouth","NS"
"B2W6E2",NA,NA,44.67839,-63.553853,"Dartmouth","NS"
"B2X2A3",NA,NA,44.693809,-63.535796,"Dartmouth","NS"
"B2Y1C8",NA,NA,44.668834,-63.566009,"Dartmouth","NS"
"B2Y3Y2",NA,NA,44.692431,-63.567606,"Dartmouth","NS"
"B2Y3Y5",NA,NA,44.686558,-63.50974,"Dartmouth","NS"
"B2Y3Y8",NA,NA,44.777535,-63.559195,"Dartmouth","NS"
"B2Y3Z5",NA,NA,44.687567,-63.588334,"Dartmouth","NS"
"B2Y3Z6",NA,NA,44.699281,-63.485051,"Dartmouth","NS"
"B2Y4K2",NA,NA,44.625118,-63.51303,"Dartmouth","NS"
"B2Y4P7",NA,NA,44.671366,-63.533378,"Dartmouth","NS"
"B2Y4W3",NA,NA,44.625032,-63.512911,"Dartmouth","NS"
"B2Z2T6",NA,NA,NA,NA,NA,NA
"B3A4P1",NA,NA,44.676181,-63.58877,"Dartmouth","NS"
"B3A4P9",NA,NA,44.675236,-63.58789,"Dartmouth","NS"
"B3A4S5",NA,NA,44.668532,-63.575804,"Dartmouth","NS"
"B3A4S9",NA,NA,44.722666,-63.418275,"Dartmouth","NS"
"B3B0J4",NA,NA,NA,NA,NA,NA
"B3B0J7",NA,NA,NA,NA,NA,NA
"B3E1S5",NA,NA,NA,NA,NA,NA
"B3G0E5",12008,"Sackville—Eastern Shore",NA,NA,NA,NA
"B3G1V5",NA,NA,NA,NA,NA,NA
"B3H1R2",NA,NA,44.637567,-63.575703,"Halifax","NS"
"B3H1V5",NA,NA,44.639714,-63.578998,"Halifax","NS"
"B3H3A4",NA,NA,44.641445,-63.583279,"Halifax","NS"
"B3H4J6",NA,NA,44.635256,-63.575758,"Halifax","NS"
"B3H4J8",NA,NA,44.642111,-63.580152,"Halifax","NS"
"B3H4J9",NA,NA,44.537086,-64.243772,"Halifax","NS"
"B3H4K2",NA,NA,44.63911,-63.57153,"Halifax","NS"
"B3H4K3",NA,NA,44.627649,-63.582117,"Halifax","NS"
"B3H4K5",NA,NA,44.636373,-63.573254,"Halifax","NS"
"B3H4M8",NA,NA,44.637127,-63.577232,"Halifax","NS"
"B3H4R1",NA,NA,44.661351,-63.496821,"Halifax","NS"
"B3H4R7",NA,NA,44.64103,-63.585558,"Halifax","NS"
"B3H4T2",NA,NA,NA,NA,NA,NA
"B3H4X3",NA,NA,NA,NA,NA,NA
"B3J0B6",NA,NA,44.641277,-63.57924,"Halifax","NS"
"B3J2L4",NA,NA,44.651263,-63.639723,"Halifax","NS"
"B3J2M4",NA,NA,44.654513,-63.595255,"Halifax","NS"
"B3J2N9",NA,NA,44.648416,-63.645986,"Halifax","NS"
"B3J2P8",NA,NA,44.651576,-63.572435,"Halifax","NS"
"B3J2T2",NA,NA,44.648416,-63.645986,"Halifax","NS"
"B3J2T3",NA,NA,44.644152,-63.574529,"Halifax","NS"
"B3J2V1",NA,NA,44.648416,-63.645986,"Halifax","NS"
"B3J2W3",NA,NA,44.646893,-63.573874,"Halifax","NS"
"B3J2W5",NA,NA,44.648416,-63.645986,"Halifax","NS"
"B3J2X1",NA,NA,44.649062,-63.585039,"Halifax","NS"
"B3J2X2",NA,NA,44.648416,-63.645986,"Halifax","NS"
"B3J2X6",NA,NA,44.648681,-63.573287,"Halifax","NS"
"B3J2Y3",NA,NA,44.651615,-63.572435,"Halifax","NS"
"B3J2Z1",NA,NA,44.649012,-63.573787,"Halifax","NS"
"B3J3C8",NA,NA,44.651649,-63.572435,"Halifax","NS"
"B3J3E4",NA,NA,44.649285,-63.738358,"Halifax","NS"
"B3J3E5",NA,NA,44.648416,-63.645986,"Halifax","NS"
"B3J3J2",NA,NA,44.654162,-63.599209,"Halifax","NS"
"B3J3L1",NA,NA,44.657578,-63.596852,"Halifax","NS"
"B3J3L7",NA,NA,44.649083,-63.575048,"Halifax","NS"
"B3J3N2",NA,NA,44.652692,-63.577708,"Halifax","NS"
"B3J3N5",NA,NA,44.651663,-63.572435,"Halifax","NS"
"B3J3P7",NA,NA,44.655398,-63.588384,"Halifax","NS"
"B3J3R2",NA,NA,44.651666,-63.572435,"Halifax","NS"
"B3J3R4",NA,NA,44.642715,-63.578668,"Halifax","NS"
"B3J3S1",NA,NA,44.656295,-63.629638,"Halifax","NS"
"B3J3S4",NA,NA,44.640989,-63.569399,"Halifax","NS"
"B3J3S9",NA,NA,44.641042,-63.584282,"Halifax","NS"
"B3J3T3",NA,NA,44.642151,-63.578529,"Halifax","NS"
"B3J3V7",NA,NA,NA,NA,NA,NA
"B3J4G9",NA,NA,NA,NA,NA,NA
"B3K0A5",NA,NA,44.661873,-63.613818,"Halifax","NS"
"B3K0H4",NA,NA,NA,NA,NA,NA
"B3K1A0",NA,NA,NA,NA,NA,NA
"B3K1M5",NA,NA,NA,NA,NA,NA
"B3K5M4",NA,NA,44.662737,-63.590281,"Halifax","NS"
"B3K5M5",NA,NA,44.662738,-63.590281,"Halifax","NS"
"B3K5X5",NA,NA,44.663275,-63.594295,"Halifax","NS"
"B3L4T1",NA,NA,44.642499,-63.621344,"Halifax","NS"
"B3L4T6",NA,NA,44.640375,-63.612634,"Halifax","NS"
"B3L4T8",NA,NA,44.65528,-63.625627,"Halifax","NS"
"B3M0E5",12005,"Halifax West",NA,NA,NA,NA
"B3M0G4",12005,"Halifax West",NA,NA,NA,NA
"B3M0G7",NA,NA,NA,NA,NA,NA
"B3M0G8",NA,NA,44.701365,-63.677333,"Halifax","NS"
"B3M0G9",NA,NA,NA,NA,NA,NA
"B3M0P9",NA,NA,NA,NA,NA,NA
"B3M2A4",NA,NA,44.676079,-63.665929,"Halifax","NS"
"B3M3E2",NA,NA,44.673699,-63.665451,"Halifax","NS"
"B3M3V6",NA,NA,44.672668,-63.668648,"Halifax","NS"
"B3M3Z6",NA,NA,44.672756,-63.666462,"Halifax","NS"
"B3N0B5",12004,"Halifax",NA,NA,NA,NA
"B3N0C1",12004,"Halifax",NA,NA,NA,NA
"B3R0B6",NA,NA,NA,NA,NA,NA
"B3S0E6",NA,NA,NA,NA,NA,NA
"B3S0E8",12005,"Halifax West",NA,NA,NA,NA
"B3S1J3",NA,NA,44.661232,-63.671349,"Halifax","NS"
"B3S1J5",NA,NA,44.66096,-63.672569,"Halifax","NS"
"B3S2V4",NA,NA,NA,NA,NA,NA
"B3X5X9",NA,NA,NA,NA,NA,NA
"B3Y3G7",NA,NA,NA,NA,NA,NA
"B3Z1R2",NA,NA,44.669495,-63.961694,"Boutiliers Point","NS"
"B3Z3A9",NA,NA,44.651418,-63.737844,"Seabright","NS"
"B3Z4R3",NA,NA,44.69243,-63.86772,"Upper Tantallon","NS"
"B4A0H3",12005,"Halifax West",NA,NA,NA,NA
"B4A1E5",NA,NA,44.731123,-63.66024,"Bedford","NS"
"B4A1M3",NA,NA,44.719571,-63.674846,"Bedford","NS"
"B4A3X5",NA,NA,44.732979,-63.658356,"Bedford","NS"
"B4A3Z2",NA,NA,44.730001,-63.654823,"Bedford","NS"
"B4A4Y7",NA,NA,NA,NA,NA,NA
"B4A8H5",NA,NA,NA,NA,NA,NA
"B4C2S8",NA,NA,44.782398,-63.687543,"Lower Sackville","NS"
"B4E0J7",NA,NA,NA,NA,NA,NA
"B4H3Y6",NA,NA,45.77631,-64.211598,"Amherst","NS"
"B4H3Z2",NA,NA,45.91326,-64.048608,"Amherst","NS"
"B4H4A1",NA,NA,45.811463,-64.220227,"Amherst","NS"
"B4H4B8",NA,NA,45.83714,-64.152145,"Amherst","NS"
"B4H4B9",NA,NA,45.835672,-64.208422,"Amherst","NS"
"B4K5G2",NA,NA,NA,NA,NA,NA
"B4N0G5",12006,"Kings—Hants",NA,NA,NA,NA
"B4N3H4",NA,NA,45.018092,-64.473083,"New Minas","NS"
"B4N3H5",NA,NA,45.022884,-64.479447,"New Minas","NS"
"B4N3P2",NA,NA,45.059936,-64.45978,"New Minas","NS"
"B4N3P3",NA,NA,45.059628,-64.458656,"New Minas","NS"
"B4N3X7",NA,NA,45.078132,-64.502597,"Kentville","NS"
"B4N3X9",NA,NA,45.079879,-64.49343,"Kentville","NS"
"B4N4C7",NA,NA,45.063444,-64.446704,"New Minas","NS"
"B4N4C8",NA,NA,45.061892,-64.446125,"New Minas","NS"
"B4N4E2",NA,NA,45.062906,-64.452705,"New Minas","NS"
"B4N4H8",NA,NA,45.069381,-64.512292,"Kentville","NS"
"B4N4J4",NA,NA,45.064818,-64.451213,"New Minas","NS"
"B4N4K8",NA,NA,45.079855,-64.420875,"New Minas","NS"
"B4N4L1",NA,NA,45.061428,-64.449173,"New Minas","NS"
"B4N4M6",NA,NA,45.070805,-64.446337,"New Minas","NS"
"B4N4M7",NA,NA,45.06127,-64.451812,"New Minas","NS"
"B4N4N9",NA,NA,45.060716,-64.45319,"New Minas","NS"
"B4P0B4",12006,"Kings—Hants",NA,NA,NA,NA
"B4P0B5",NA,NA,NA,NA,NA,NA
"B4P1L0",NA,NA,45.089753,-64.362338,"Wolfville","NS"
"B4P2N5",NA,NA,45.068899,-64.350127,"Wolfville","NS"
"B4P2S4",NA,NA,45.085182,-64.362467,"Wolfville","NS"
"B4R0A3",12006,"Kings—Hants",NA,NA,NA,NA
"B4V0C2",NA,NA,44.393615,-64.494689,"Bridgewater","NS"
"B4V0H4",NA,NA,44.426157,-64.618626,"Bridgewater","NS"
"B4V2V9",NA,NA,44.411116,-64.585749,"Bridgewater","NS"
"B4V2W1",NA,NA,44.411884,-64.537679,"Bridgewater","NS"
"B4V2W2",NA,NA,44.363174,-64.435961,"Bridgewater","NS"
"B4V2W3",NA,NA,44.345061,-64.52376,"Bridgewater","NS"
"B4V2W4",NA,NA,44.371512,-64.554668,"Bridgewater","NS"
"B4V2W8",NA,NA,44.350902,-64.526097,"Bridgewater","NS"
"B4V2W9",NA,NA,44.503668,-65.19937,"Bridgewater","NS"
"B4V2X6",NA,NA,44.367189,-64.539422,"Bridgewater","NS"
"B4V2Y5",NA,NA,44.426157,-64.618626,"Bridgewater","NS"
"B4V3E2",NA,NA,44.426157,-64.618626,"Bridgewater","NS"
"B4V3J5",NA,NA,44.386828,-64.491981,"Bridgewater","NS"
"B4V3L9",NA,NA,44.332073,-64.339857,"Crouses Settlement","NS"
"B4V5C1",NA,NA,44.442143,-64.585166,"Cookville","NS"
"B4V5P3",NA,NA,44.372771,-64.474152,"Conquerall","NS"
"B4V5P5",NA,NA,44.426157,-64.618626,"Bridgewater","NS"
